ID,TITLE,CONTENTS,NEWSDAY,IMAGE,COMPANY
22,"배달원 안전 위한 조치라지만…점주들은 ""비싼 요금제 가입 유도용""","“애플리케이션에 ‘준비 중’이라고 떠 있으면 고객들에게도 가게 이미지가 나빠집니다.” 서울 영등포구 여의도동에서 치킨집을 운영하고 있는..
										 
|",2024-10-25 17:47:11,C:\gitmain\scrap\images2\배달원 안전 위한 조치라지만…점주들은 비싼 요금제 가입 유도용.png,서울경제
23,"신한투자증권, 3분기 순손실 168억원… “1300억원 LP 운용 손실 여파”","신한투자증권이 올해 3분기 약 170억원 규모의 당기순손실을 기록했다고 25일 밝혔다. 1300억 원 규모에 달하는 대형 금융사고 탓이..
										 
|",2024-10-25 17:44:14,"C:\gitmain\scrap\images2\신한투자증권, 3분기 순손실 168억원… “1300억원 LP 운용 손실 여파”.png",조선비즈
24,"우리투자증권, 출범 첫 실적 '흑자전환'","지난 8월 출범한 우리투자증권이 첫 분기 실적에서 흑자전환에 성공했다. 25일 우리금융에 따르면 우리투자증권은 지난 3분기에 약 57억..
										 
|",2024-10-25 17:40:07,"C:\gitmain\scrap\images2\우리투자증권, 출범 첫 실적 '흑자전환'.png",아이뉴스24
25,"김재섭 의원, ‘토큰증권 제도화 법안’ 대표 발의","지난 5월 법안 폐기로 멈춰선 토큰증권(STO) 법제화 작업이 22대 국회에서 다시 추진된다. 정무위원회 소속 국민의힘 김재섭 의원은 ..
										 
|",2024-10-25 17:40:07,"C:\gitmain\scrap\images2\김재섭 의원, ‘토큰증권 제도화 법안’ 대표 발의.png",조선비즈
26,"미래에셋증권, 한국ESG기준원 평가…3년 연속 종합등급 'A'","미래에셋증권은 한국ESG기준원이 실시한 2024년도 ESG평가에서 종합등급 A를 받으면서, 3년 연속 증권업 최고등급을 받았다고 25일..
										 
|",2024-10-25 17:39:22,"C:\gitmain\scrap\images2\미래에셋증권, 한국ESG기준원 평가…3년 연속 종합등급 'A'.png",머니투데이
27,신한證 파생상품 손실로 비이자수익 희비 … 우리는 '활짝',"3분기 주요기업 실적 발표 신한, 금융사고에도 실적 선방 우리는 올해 3조 클럽 재도전 HDC현산 매출액 5.4% 증가 신한금융그룹은 ..
										 
|",2024-10-25 17:37:09,C:\gitmain\scrap\images2\신한證 파생상품 손실로 비이자수익 희비 … 우리는 '활짝'.png,매일경제
28,빠듯해지는 곳간 … 보험주 배당양극화 심화,"계약 해지때 돌려줄 준비금 회계기준 바뀌며 더 필요해 소형 보험주 배당여력 타격 삼성생명 올해 50% 뛸 때 현대해상·한화생명 제자리 ..
										 
|",2024-10-25 17:37:06,C:\gitmain\scrap\images2\빠듯해지는 곳간 … 보험주 배당양극화 심화.png,매일경제
29,"역대 최고가 치솟은 金값…""추격 매수는 신중해야""","전쟁 장기화, 미국과 중국의 금리 인하 등으로 전 세계 경제의 변동성이 커지며 안전자산에 대한 수요가 지속되고 있다. 특히 올 들어 금..
										 
|",2024-10-25 17:35:17,C:\gitmain\scrap\images2\역대 최고가 치솟은 金값…추격 매수는 신중해야.png,서울경제
30,‘깜짝실적’ 테슬라에…2800억 물탄 서학개미 '방긋',"서학개미가 테슬라의 깜짝 실적에 모처럼 웃었다. 테슬라는 로보택시 공개 이후 주가가 하락해왔는데 당시 물타기(주가 하락에 따라 매수 규..
										 
|",2024-10-25 17:35:15,C:\gitmain\scrap\images2\‘깜짝실적’ 테슬라에…2800억 물탄 서학개미 '방긋'.png,서울경제
31,"전소연 한 마디에 휘청이더니…큐브엔터, 재계약 불발설에 또 [종목+]","큐브엔터테인먼트(182360)가 그룹 (여자)아이들 전소연과의 재계약 불발설 여파로 주가가 7% 이상 급락했다. 큐브엔터테인먼트(이하 ..
										 
|",2024-10-25 17:32:19,"C:\gitmain\scrap\images2\전소연 한 마디에 휘청이더니…큐브엔터, 재계약 불발설에 또 [종목+].png",한국경제
32,"""부동산 침체로 경쟁력 저하""…한신평, 다올證 회사채 등급 하향","한국신용평가가 다올투자증권(030210)이 부동산 금융 시장 침체로 이익 창출력이 악화됐다며 기업어음과 단기사채 신용등급을 기존 ‘A2..
										 
|",2024-10-25 17:30:18,"C:\gitmain\scrap\images2\부동산 침체로 경쟁력 저하…한신평, 다올證 회사채 등급 하향.png",서울경제
33,"에어레인, 청약 경쟁률 418대 1 기록…증거금 1조4433억","기체분리막 솔루션 전문기업 에어레인(대표이사 하성용)이 지난 24일~25일 양일간 일반 투자자 대상 공모주 청약을 실시한 결과 418...
										 
|",2024-10-25 17:28:31,"C:\gitmain\scrap\images2\에어레인, 청약 경쟁률 418대 1 기록…증거금 1조4433억.png",머니투데이
34,"NH농협은행서 15억원 상당 금융사고…""부동산담보대출 사기""","NH농협은행에서 15억원대 금융사고가 발생했다. NH농협은행은 25일 오후 외부인의 사기에 따른 금융사고가 발생했다고 공시했다. 사고 ..
										 
|",2024-10-25 17:26:40,C:\gitmain\scrap\images2\NH농협은행서 15억원 상당 금융사고…부동산담보대출 사기.png,연합뉴스
35,상단 테스트하는 환율…美 대선 앞두고 1390원선도 넘봐,"달러 강세로 상승세를 지속하고 있는 원·달러 환율이 상단을 테스트하는 모양새다. 1300원대 후반에 진입하면서 레벨에 대한 부담과 당국..
										 
|",2024-10-25 17:26:17,C:\gitmain\scrap\images2\상단 테스트하는 환율…美 대선 앞두고 1390원선도 넘봐.png,이데일리
36,"고려아연, 한때 시총 10위 찍고…·영풍정밀은 45% '널뛰기'[핫종목]","고려아연(010130) 경영권 분쟁 관련주의 희비가 교차했다. 고려아연은 장내매수 기대감에 전날 상한가에 이어 상승마감 했으나, 영풍정..
										 
|",2024-10-25 17:25:47,"C:\gitmain\scrap\images2\고려아연, 한때 시총 10위 찍고…·영풍정밀은 45% '널뛰기'[핫종목].png",뉴스1
37,"에쓰오일, 회사채 수요예측서 1.1조 모으며 흥행[마켓인]","에쓰오일(S-Oil(010950))이 회사채 발행을 위한 수요예측에서 1조원이 넘는 자금을 모으며 흥행했다. 25일 금융투자업계에 따르..
										 
|",2024-10-25 17:24:19,"C:\gitmain\scrap\images2\에쓰오일, 회사채 수요예측서 1.1조 모으며 흥행[마켓인].png",이데일리
38,"증권사 9곳이 목표가 높였다...KB금융, 밸류업 호평에 8% 상승","전날 역대 최대 규모 실적과 기업가치 제고계획을 발표한 KB금융이 8%대 상승 마감했다. 증권가에서는 KB금융이 전향적 주주환원 정책을..
										 
|",2024-10-25 17:23:13,"C:\gitmain\scrap\images2\증권사 9곳이 목표가 높였다...KB금융, 밸류업 호평에 8% 상승.png",파이낸셜뉴스
